"Plot","Age (years)","Stocking (stem/ha)","BA (m2/ha)","DBH (cm)","Stem Vol. (m3/ha)","Harvest vol. (m3/ha)","MTH (m)","Mean height (m)","Wood dens. (kg/m3)","Crown height (m)"
"Rapo76",15,1257,59.9947289749734,24.6492160183512,587.536905605889,0,29.063896322025,27.0495405139218,335.801406577334,NA
"Rapo76",16,1257,61.2370252701715,24.903111084321,636.135634925843,0,30.9657845275939,28.8196129604884,338.51196289355,NA
"Rapo76",17,1257,62.4127434656858,25.141037717257,684.524433573159,0,32.8165310212662,30.5420882166243,340.870015293706,NA
"Rapo76",18,1257,63.5207965017049,25.3632282807211,732.482942996,0,34.6146917109429,32.2156222771312,342.937200985883,NA
"Rapo76",19,1257,64.5589263238897,25.5696458260871,779.790493051237,0,36.3593444161696,33.8393568758881,344.761869911685,NA
"Rapo76",20,1257,65.5254277054004,25.7603343288338,826.243920320084,0,38.05,35.4128367769725,346.382912974539,NA
"Rapo76",21,1257,66.4358025401984,25.938667123378,871.877021839027,0,39.6865288002534,36.9359413048092,347.838454760914,NA
"Rapo76",22,1257,67.3359296825989,26.1137951707056,917.18216721703,0,41.269099313314,38.4088272776625,349.17101372576,NA
"Rapo76",23,1257,68.2165192372462,26.2839928765687,961.973587061158,0,42.7981268008673,39.8318811763282,350.395442053766,NA
"Rapo76",24,1257,69.0781740415651,26.4494708302262,1006.19867720378,0,44.2742300118068,41.2056788655519,351.527581574659,NA
"Rapo76",25,1257,69.9215380598693,26.6104396209367,1049.81314250177,0,45.6981945978539,42.5309515452333,352.580693704245,NA
"Rapo76",26,1257,70.7472944642785,26.7671098379593,1092.78039211751,0,47.0709420919295,43.808556878839,353.565939392294,NA
"Rapo76",27,1257,71.5561638032159,26.9196920705527,1135.07097965069,0,48.3935035398811,45.0394544526584,354.492759467204,NA
"Rapo76",28,1257,72.3489022574878,27.0683969079758,1176.66208232485,0,49.6669970473555,46.2246848788535,355.36917847153,NA
"Rapo76",29,1257,73.1262999839424,27.2134349394875,1217.53701491776,0,50.8926086374242,47.3653519798014,356.202049198261,NA
"Rapo76",30,1257,73.8891795467113,27.3550167543465,1257.68477515837,0,52.0715759203112,48.4626075896377,356.997250883939,NA
"Rapo76",31,1257,74.63839443603,27.4933529418117,1297.09961803707,0,53.2051741609477,49.5176385874385,357.73992701409,NA
"Rapo76",32,1257,75.3748276746412,27.6286540911419,1335.78065698716,0,54.29470439801,50.531655839703,358.435665490504,NA
"Rapo76",33,1257,76.0993905117774,27.7611307915961,1373.73149025836,0,55.3414833232553,51.5058847811297,359.089353679853,NA
"Rapo76",34,1257,76.813021204725,27.8909936324329,1410.95985106237,0,56.3468346750784,52.4415574046677,359.705284439418,NA
"Rapo76",35,1257,77.5166838879698,28.0184532029114,1447.47728025654,0,57.31208193738,53.3399054664103,360.287244237727,NA
"Rapo76",36,1257,78.2113675299223,28.1437200922903,1483.29882046676,0,58.2385421656434,54.2021547395732,360.838586721925,NA
"Rapo76",37,1257,78.8980849772245,28.2670048898284,1518.44273064943,0,59.1275207878106,55.0295201757106,361.362294396852,NA
"Rapo76",38,1257,79.5778720866381,28.3885181847846,1552.93022016618,0,59.9803072490916,55.823201851373,361.861030546362,NA
"Rapo76",39,1257,80.2517869445122,28.5084705664178,1586.78520150073,0,60.7981713879969,56.5843815953097,362.337183108899,NA
"Rapo76",40,1257,80.9227257941189,28.6273939514997,1620.07042947256,0,61.5823604462513,57.3142202056185,362.793390128137,NA
"Rapo76",41,1257,81.5841363905312,28.7441468740313,1652.66082017116,0,62.3340966283162,58.0138551784125,363.237791413602,NA
"Rapo76",42,1257,82.2350167466981,28.8585798647514,1684.5395646924,0,63.0545751374011,58.684398879951,363.655864187052,NA
"Rapo76",43,1257,82.8764084597096,28.9709024693795,1715.73211641121,0,63.7449626244004,59.3269371030776,364.049908880155,NA
"Rapo76",44,1257,83.5093448355719,29.081319061259,1746.26541012857,0,64.4063959944034,59.9425279564485,364.421997848124,NA
"Rapo76",45,1257,84.1346502536523,29.1899942770496,1776.16343351293,0,65.0399815225067,60.5322010416252,364.773953662296,NA
"Rapo76",46,1257,84.7531483908833,29.2970898581663,1805.45129364343,0,65.646794236777,61.0969568788038,365.107428044449,NA
"Rapo76",47,1257,85.3655978652852,29.4027537124529,1834.15369531151,0,66.2278775315209,61.6377665468876,365.42390635965,NA
"Rapo76",48,1257,85.972763698521,29.5071325045547,1862.29630524034,0,66.7842429786245,62.1555715079028,365.724742479997,NA
"Rapo76",49,1257,86.575218818779,29.6103378005778,1889.9013133849,0,67.3168703087423,62.6512835894906,366.011128856932,NA
"Rapo76",50,1257,87.1735506681628,29.7124819417529,1916.99171998986,1916.99171998986,67.826707537613,63.1257851024689,366.284158827893,NA
"Rapo77",1,1309,0,0,0,0,1.04687945574336,0.974186733731444,NA,NA
"Rapo77",2,1309,0.153487632586676,1.22174641211441,0.467779138758139,0,2.38136627396813,2.21601008552407,272.30624406925,NA
"Rapo77",3,1309,1.97267069418584,4.37997543666746,4.95090690162492,0,3.98830194141393,3.71136411181356,279.665456162548,NA
"Rapo77",4,1309,6.55196272844238,7.98233752738658,18.4070788626395,0,5.76735960179935,5.36688840525776,284.413233447495,NA
"Rapo77",5,1309,13.7314373031714,11.5558628203531,45.1203735738714,0,7.65910271063655,7.12727354811882,289.626977226394,NA
"Rapo77",6,1309,22.5176711763207,14.798105356257,86.3741870196485,0,9.62332397525427,8.955104142755,294.952752187349,NA
"Rapo77",7,1309,31.5121409047775,17.505855262249,139.393340852413,0,11.630955821892,10.8233309958863,300.315495465411,NA
