"Age","Needle_0to1yr(X3)","Needle_1to2yr(X4)","Needle_2plus_yr(X5)","Live_branch(X6)","Dead_branch(X7)","Stem_wood(X8)","Coarse_root(X9)","Needle_litter(X10)","Branch_litter(X11)","Stem_litter(X12)","Coarse_root_litter(X13)","Live_fine_root(X14)","Fine_root_litter(X15)","Stem_bark(X16)","SPHA","BA","HT","GCL","Vol","dens","CTREES","CSHRUB","CSTAND","CFAS","CSTEM","C_branch_live","C_branch_dead","CROOTL","CROOTD","C_needle_litter","C_branch_litter","C_stem_litter","cfrac_bark","AGL","BGL","DWL","FL","Total","Plot"
14,0.979527990422946,0.449482855713699,0.101198263087211,6.33955982154272,0.00424851807038768,15.8865493956222,4.44609685025177,2.38689270886868,0,0,0,1.23289537570502,2.7296422651155,1.61494030886686,1000,8.79542942020746,13.7963168560373,11.5100288724392,43.5633175570358,0.405222239670334,18.0855171766335,1.8718,19.9573171766335,0.765104554611928,8.75074485224452,3.16977991077136,0.00212425903519384,2.8394961129784,1.36482113255775,1.19344635443434,0,0,0.547818659027593,12.7990343437578,2.86440054572181,0,1.2268628523585,16.8902977418381,"HighUC"
15,1.050529393446,0.489763995211473,0.112370713928425,7.76420898298103,0.0124896699463703,20.2489851854001,5.60522970774042,2.79208469105344,0,0,0,1.36551839569586,3.15957135081298,2.05879637078041,1000,10.2965746756225,14.7249593839309,11.8530228740172,53.8987125856748,0.409318664367508,22.3297742284982,2.0535,24.3832742284982,0.826332051292947,11.1538907780902,3.88210449149052,0.00624483497318515,3.48537405171814,1.57978567540649,1.39604234552672,0,0,0.548595594217028,16.0056968064927,3.51549211744693,0,1.43513153120147,20.9563204551411,"HighUC"
16,1.11146394990772,0.525264696722998,0.122440998802868,9.2788064303763,0.0321719640153955,25.0966527442774,6.88181800471403,3.18539767776722,0,0,0,1.48324147754777,3.56487184193402,2.55507736246187,1000,11.8276163412669,15.6120365234656,12.1697354809078,65.1127593160347,0.413273220844477,26.9186035742638,2.2416,29.1602035742638,0.879584822716794,13.8258650533696,4.63940321518815,0.0160859820076978,4.1825297411309,1.78243592096701,1.59269883888361,0,0,0.549182789201368,19.5262168229017,4.21823457449223,0,1.63729440637235,25.3817458037662,"HighUC"
17,1.16215270722567,0.555731974953861,0.13131617418075,10.8535168306218,0.0740914201423882,30.3720847157392,8.26074255145055,3.55971301230082,0,0,0,1.58419302696512,3.93600070044998,3.09823275933351,1000,13.3701062451377,16.4572221047022,12.462420662335,77.0652663601811,0.417080840466936,31.7938879366818,2.4361,34.2299879366818,0.924600428180142,16.7351587375363,5.42675841531091,0.0370457100711941,4.92246778920784,1.96800035022499,1.77985650615041,0,0,0.549626581623596,23.3189558923315,4.96406232088577,0,1.82969248832262,30.1127107015399,"HighUC"
18,1.2027610868381,0.581076353612836,0.138932993738465,12.4524790779385,0.154880073582123,36.0131614404109,9.72608762001112,3.9090993210244,0,0,0,1.66816404589147,4.26556987666367,3.68200668658426,1000,14.9086394432157,17.26068519208,12.7330962615602,89.614729987871,0.420734269383447,36.8971092881479,2.637,39.5341092881479,0.961385217094699,19.8475840634976,6.22623953896925,0.0774400367910613,5.6971258329513,2.13278493833184,1.9545496605122,0,0,0.549961992720897,27.3397532248845,5.74484681261633,0,2.00927705100654,35.0938770885073,"HighUC"
19,1.23375366937551,0.601380543419048,0.145269088403209,14.0336382465293,0.297231707283843,41.9569462762313,11.2620124552668,4.22887693829959,0,0,0,1.7354366918491,4.54971960963577,4.29988668090798,1000,16.4308771664213,18.0229814024028,12.9835766266992,102.625138532491,0.42422421512942,42.1720759536007,2.8443,45.0163759536007,0.990201650598882,23.1284164785696,7.01681912326463,0.148615853641921,6.49872457355796,2.27485980481788,2.11443846914979,0,0,0.550215490974941,31.5441018702345,6.55274523668098,0,2.17364274628599,40.2704898532015,"HighUC"
20,1.25581252390541,0.616876834687753,0.150345135854762,15.5502973020088,0.528176440545712,48.1425108277915,12.8533780844665,4.5156632993442,0,0,0,1.78700905405379,4.78702045039881,4.94544626564452,1000,17.9273477171526,18.7449645996094,13.2154992861363,115.970575144378,0.427539493231083,47.5662681093509,3.058,50.6242681093509,1.01151724722396,26.543978546718,7.77514865100439,0.264088220272856,7.32019356926015,2.39351022519941,2.2578316496721,0,0,0.550407080833835,35.8886049523555,7.38062953451129,0,2.32105093586292,45.5902854227297,"HighUC"
21,1.27242899384316,0.627906261952706,0.154219208671938,16.9580433240643,0.875583724050466,54.5257296717754,14.489461140811,4.76735276771503,0,0,0,1.82965475194991,4.97828339727212,5.61393493820564,1000,19.3952328745059,19.4277150406016,13.4303470165718,129.565396689017,0.43066717380946,53.0462990901558,3.2781,56.3243990901558,1.0272772322339,30.0698323049905,8.47902166203215,0.437791862025233,8.15955794638047,2.48914169863606,2.38367638385751,0,0,0.550551881334215,40.3422657265918,8.22651291602348,0,2.45041932260552,51.0191979652208,"HighUC"
22,1.30840469441045,0.636214496921578,0.156976565488177,18.2396434135298,1.37225583238281,61.1858031525722,16.1910696647411,4.98436049643291,0,0,0,1.91224639961167,5.13405815861548,6.3135158299302,1000,20.8694558212722,20.0724808882734,13.6294662968526,143.586068412406,0.433592728184344,58.7172743523182,3.5046,62.2218743523182,1.0507978784101,33.7496594912512,9.11982170676492,0.686127916191403,9.05165803217636,2.56702907930774,2.49218024821645,0,0,0.550661319198157,44.9705920623521,9.12555949463233,0,2.56196129516651,56.6581128521509,"HighUC"
23,1.33050723841486,0.654202347205224,0.159053624230395,19.3485703473409,2.03418546912058,68.0478129167356,17.9394893939316,5.18080601343566,0,0,0,1.94443873032973,5.33271751555294,7.03619762954718,1000,22.3342551006505,20.6806306414157,13.8140828900485,157.882069727722,0.436300175478273,64.5039906129223,3.7375,68.2414906129223,1.07188160492524,37.5420052731414,9.67428517367046,1.01709273456029,9.94196406213065,2.66635875777647,2.59040300671783,0,0,0.550744030556424,49.7059061636318,10.0227497995671,0,2.66293429090593,62.3915902541049,"HighUC"
