"Plot","Index age","Age","Stocking b4 thin","Stocking aft thin","MTH","Crown Lth","Volume b4 thin","Volume aft thin","BA b4 thin","BA aft thin","DBH b4 thin","DBH aft thin","Mean Height","Event"
"HighT1",26.5,26,270,,32.0729753180834,0,443.046947770219,,42.5084370196301,,44.7682263011139,,30.9672122877379,"M"
"HighT1",26.5,27,270,,32.7137762880755,0,472.751562228151,,44.441573900186,,45.7748611159318,,31.5910806890795,
"HighT1",26.5,28,268.889632805303,,33.3146305077859,0,501.288841922812,,46.2467833533562,,46.7916045917514,,32.1769270512101,
"LowShort",25.4,0,310,,0.3,0,0,,0,,0,,0.2,
"LowShort",25.4,1,310,,0.574188728509966,0,0,,0,,0,,0.551383826806633,
"LowShort",25.4,2,310,,1.23200622673098,0,0,,0,,0,,1.18307496161994,
"LowShort",25.4,3,310,,2.083773437321,0,0,,0,,0,,2.0010127594278,
"LowShort",25.4,4,310,,3.06025960378327,0,0.0232797399620959,,0.00580361764851965,,0.48818311168492,,2.93871608335913,
"LowShort",25.4,5,310,,4.1159481935147,0,0.167456353201786,,0.0653589871414036,,1.63827201088384,,3.95247616888494,
"LowShort",25.4,6,310,,5.21842430492807,0,0.560253047874724,,0.228498457250912,,3.06319744437721,,5.01116552848189,
"LowShort",25.4,7,310,,6.3437670006694,0,1.36892903038894,,0.526512085754854,,4.64983483982072,,6.09181328633137,
"LowShort",25.4,8,310,,7.47402653652631,0,2.77581868429905,,0.976787745228428,,6.33334951811234,,7.1771826034594,
"LowShort",25.4,9,310,,8.59565276064296,0,4.95743084743302,,1.58602540937068,,8.0702766993553,,8.25426149580373,
"LowShort",25.4,10,310,,9.69843346018234,0,8.06786574053866,,2.35268747880529,,9.82913897144466,,9.31324334628073,
"LowShort",25.4,11,310,,10.7747373112892,0,12.2272010841647,,3.26894195458817,,11.5860916455488,,10.3467999223042,
"LowShort",25.4,12,310,,11.818953327616,0,17.514751217535,,4.32227362774366,,13.3226151749786,,11.3495430875857,
"LowShort",25.4,13,310,,12.8270644692231,0,23.9668283516583,,5.49689963763095,,15.0242312225674,,12.3176153458974,
"LowShort",25.4,14,310,,13.7963168560373,0,31.5785262868998,,6.77508081898579,,16.6797906331806,,13.2483721922916,
"LowShort",25.4,15,310,,14.7249593839309,0,40.3088679118189,,8.13835636513887,,18.2810739897867,,14.1401320707799,
"LowShort",25.4,16,310,,15.6120365234656,0,50.088338461718,,9.56865744296104,,19.8225197162131,,14.9919774024334,
"LowShort",25.4,17,310,,16.4572221047022,0,60.8274967663179,,11.0492060589804,,21.3009459982884,,15.8035949717183,
"LowShort",25.4,18,310,,17.26068519208,0,72.4252607785955,,12.5651084746261,,22.7151953462726,,16.5751471283861,
"LowShort",25.4,19,310,,18.0229814024028,0,84.7757544730192,,14.1036094974106,,24.0656996508306,,17.3071674219553,
"LowShort",25.4,20,310,,18.7449645996094,0,97.773188313612,,15.6540519245363,,25.354014824872,,18.0004758036766,
