"Plot","Index age","Age","Stocking b4 thin","Stocking aft thin","MTH","Crown Lth","Volume b4 thin","Volume aft thin","BA b4 thin","BA aft thin","DBH b4 thin","DBH aft thin","Mean Height"
"A2028",21,21,1363.05652273814,1363.05652273814,24.9793827946856,0,1113.76644283052,1113.76644283052,132.433870425111,132.433870425111,35.1687396720494,35.1687396720494,23.242150295133
"A2028",22,22,1319.16270304058,1319.16270304058,25.9638120629104,0,1178.521891125,1178.521891125,135.179130453624,135.179130453624,36.1176798550144,36.1176798550144,24.1603687926614
"A2028",23,23,1275.93582554881,1275.93582554881,26.905415392023,0,1241.66240878783,1241.66240878783,137.757770041723,137.757770041723,37.0730091185262,37.0730091185262,25.0393040348844
"A2028",24,24,1233.61773972422,1233.61773972422,27.8049604077171,0,1302.94717395821,1302.94717395821,140.168064289048,140.168064289048,38.0319362774564,38.0319362774564,25.8797406662432
"A2028",25,25,1192.41172450942,1192.41172450942,28.6633803682719,0,1362.18137405748,1362.18137405748,142.410795775574,142.410795775574,38.9917331487665,38.9917331487665,26.6826155350677
"A2028",26,26,1152.48119278517,1152.48119278517,29.4817378808095,0,1419.21761916213,1419.21761916213,144.489215239645,144.489215239645,39.9498354215442,39.9498354215442,27.4489815005688
"A2028",27,27,1113.95033947388,1113.95033947388,30.2611943150414,0,1473.95504937497,1473.95504937497,146.408822386675,146.408822386675,40.903918130466,40.903918130466,28.1799766928319
"A2028",28,28,1076.9064130521,1076.9064130521,31.0029840553709,0,1526.33708784958,1526.33708784958,148.177082508512,148.177082508512,41.8519540685524,41.8519540685524,28.8767986068431
"A2037",1,1,835,835,0.892409462491943,0,0,0,0,0,0,0,0.833267613917025
"A2037",2,2,835,835,2.02851222365887,0,1.49879797651093,1.49879797651093,0.350642137766943,0.350642137766943,2.3120808508368,2.3120808508368,1.89407846000401
"A2037",3,3,834.616734998145,834.616734998145,3.42321585249283,0,16.3617076775951,16.3617076775951,6.62224999004551,6.62224999004551,10.0501708158714,10.0501708158714,3.19637168138361
"A2037",4,4,834.233254831508,834.233254831508,4.98065421953988,0,58.06683811149,58.06683811149,22.702219813937,22.702219813937,18.6124958967868,18.6124958967868,4.65063269860837
"A2037",5,5,833.831379523575,833.831379523575,6.64242778227816,0,131.773979011561,131.773979011561,45.2228285053354,45.2228285053354,26.2756788720329,26.2756788720329,6.20233587945024
"A2037",6,6,833.328498021885,833.328498021885,8.36851503553718,0,224.552253162983,224.552253162983,66.7021071261245,66.7021071261245,31.9209539452024,31.9209539452024,7.81412473278029
"A2037",7,7,832.639038661011,832.639038661011,10.1298696434994,0,321.650133819333,321.650133819333,83.2298328276609,83.2298328276609,35.6718249718798,35.6718249718798,9.45889933449575
"A2037",8,8,831.750654961621,831.750654961621,11.9047295374331,0,421.946025240166,421.946025240166,96.2130285116093,96.2130285116093,38.3737788771106,38.3737788771106,11.1163572417223
"A2037",9,9,830.676328033478,830.676328033478,13.6764925649241,0,527.146134224923,527.146134224923,107.21469671458,107.21469671458,40.534558335064,40.534558335064,12.7710098797338
"A2037",10,10,829.426597891246,829.426597891246,15.4323732562865,0,636.843686422601,636.843686422601,116.846599528353,116.846599528353,42.3480348492147,42.3480348492147,14.4109311662316
"A2037",11,11,828.011685631515,828.011685631515,17.1624954947575,0,749.516271412577,749.516271412577,125.322314900806,125.322314900806,43.894506738407,43.894506738407,16.0269099728778
"A2037",12,12,826.443874758766,826.443874758766,18.8592491866388,0,863.436875897809,863.436875897809,132.749234522061,132.749234522061,45.2192684326361,45.2192684326361,17.6118487421379
"A2037",13,13,824.737478242807,824.737478242807,20.5168170871735,0,977.036719033845,977.036719033845,139.215518009234,139.215518009234,46.3553815858871,46.3553815858871,19.1603214039018
"A2037",14,14,822.907970873552,822.907970873552,22.1308167818961,0,1089.01807831846,1089.01807831846,144.809619115939,144.809619115939,47.3300837489305,47.3300837489305,20.6682391446531
"A2037",15,15,820.97107641254,820.97107641254,23.6980237090133,0,1198.36906447998,1198.36906447998,149.6214571681,149.6214571681,48.1667355493534,48.1667355493534,22.1325920317444
"A2037",16,16,818.942054164205,818.942054164205,25.2161530592482,0,1304.34028516181,1304.34028516181,153.739641263833,153.739641263833,48.8855546216942,48.8855546216942,23.5512456985167
"A2037",17,17,816.835219867853,816.835219867853,26.6836855874694,0,1406.40792592566,1406.40792592566,157.248677207991,157.248677207991,49.5040208172706,49.5040208172706,24.9227790542149
"A2037",18,18,814.663667525651,814.663667525651,28.0997268963521,0,1504.23408034921,1504.23408034921,160.22703368367,160.22703368367,50.0371913374878,50.0371913374878,26.2463532342116
"A2037",19,19,812.439143270609,812.439143270609,29.4638927045514,0,1597.62927980093,1597.62927980093,162.746080130617,162.746080130617,50.4979851851294,50.4979851851294,27.5216047796419
"A2037",20,20,810.172025513791,810.172025513791,30.7762145996094,0,1686.5193583086,1686.5193583086,164.869700345408,164.869700345408,50.8974476629906,50.8974476629906,28.7485579025528
"A2037",21,21,807.871374296296,807.871374296296,32.0370621516518,0,1771.79739037164,1771.79739037164,166.737190070828,166.737190070828,51.257725509407,51.257725509407,29.9275519841135
"A2037",22,22,805.543216895235,805.543216895235,33.2470782396294,0,1855.64140209142,1855.64140209142,168.580257374294,168.580257374294,51.614667692499,51.614667692499,31.0591823724048
"A2037",23,23,803.188514916122,803.188514916122,34.4071251488052,0,1937.52207407983,1937.52207407983,170.35931327686,170.35931327686,51.9623037575509,51.9623037575509,32.1442516669063
"A2037",24,24,800.809102008676,800.809102008676,35.5182395202761,0,2017.39061179835,2017.39061179835,172.079189245044,172.079189245044,52.3014677881082,52.3014677881082,33.1837247196545
"A2037",25,25,798.406706538752,798.406706538752,36.5815946254996,0,2095.22376162967,2095.22376162967,173.744899530801,173.744899530801,52.6330025397871,52.6330025397871,34.1786939391145
"A2037",26,26,795.982945145711,795.982945145711,37.5984687379212,0,2171.02146348661,2171.02146348661,175.361632026234,175.361632026234,52.9577603374667,52.9577603374667,35.1303497930805
"A2037",27,27,793.539317281014,793.539317281014,38.5702186050876,0,2244.80469560917,2244.80469560917,176.934740018758,176.934740018758,53.2766039155087,53.2766039155087,36.0399560705634
"A2037",28,28,791.077200654657,791.077200654657,39.4982572056738,0,2316.61349495869,2316.61349495869,178.469734852945,178.469734852945,53.5904072032144,53.5904072032144,36.9088291414423
"A2056",1,1,1736,1736,0.829187823784731,0,0,0,0,0,0,0,0.771229561505089
"A2056",2,2,1736,1736,1.88427074123462,0,0.982566518777338,0.982566518777338,0.185414635535017,0.185414635535017,1.16603435776126,1.16603435776126,1.75256468538848
"A2056",3,3,1735.2031759999,1735.2031759999,3.19670922244431,0,14.7496769612776,14.7496769612776,5.85851546682914,5.85851546682914,6.55590762048036,6.55590762048036,2.97326787159976
"A2056",4,4,1734.405544292,1734.405544292,4.67409291509127,0,56.1690014318586,56.1690014318586,22.3762094091475,22.3762094091475,12.8153990558428,12.8153990558428,4.34738795980518
"A2056",5,5,1733.4742091628,1733.4742091628,6.25915644641288,0,132.41777329077,132.41777329077,46.9261569010928,46.9261569010928,18.5636342752151,18.5636342752151,5.82166274596068
"A2056",6,6,1731.40105813743,1731.40105813743,7.91219242009408,0,230.562174726594,230.562174726594,71.1108834957461,71.1108834957461,22.8656420076319,22.8656420076319,7.35916393569473
"A2056",7,7,1726.60678016117,1726.60678016117,9.60412510891886,0,328.243397792924,328.243397792924,88.3935759443597,88.3935759443597,25.5286490271479,25.5286490271479,8.93285709031441
"A2056",8,8,1718.81115165042,1718.81115165042,11.3130134354169,0,417.636491970527,417.636491970527,99.1929514246739,99.1929514246739,27.1044454886336,27.1044454886336,10.5223428435034
"A2056",9,9,1708.73452843936,1708.73452843936,13.0220159955212,0,502.207931794551,502.207931794551,106.410848342807,106.410848342807,28.1559287118674,28.1559287118674,12.1119611700776
"A2056",10,10,1697.01218359883,1697.01218359883,14.7180917285879,0,585.580531292473,585.580531292473,111.911411689689,111.911411689689,28.9740302180261,28.9740302180261,13.6895856249211
"A2056",11,11,1684.00835173222,1684.00835173222,16.3911145836532,0,669.378780728792,669.378780728792,116.541053122761,116.541053122761,29.6812065009981,29.6812065009981,15.2458013791994
"A2056",12,12,1669.92993129015,1669.92993129015,18.0332409130562,0,755.133264793976,755.133264793976,120.839940014887,120.839940014887,30.3508129271143,30.3508129271143,16.7733169857799
