"Age","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","SPHA","BA","HT","GCL","Vol","dens","CTREES","CSHRUB","CSTAND","CFAS","CSTEM","C_branch_live","C_branch_dead","CROOTL","CROOTD","C_needle_litter","C_branch_litter","C_stem_litter","Plot"
28,3.30721566441547,1.73990981734419,0.457812350885475,22.4700082699061,56.4612321377764,416.995887960481,109.970071625027,18.9019543057779,0,0,0,4.87154751327669,15.3773701140597,43.2287311078112,985.622920641567,128.963214864843,22.2355479869127,14.5761630240415,974.056892426126,0.449097440441211,346.890870433381,4.998,351.888870433381,2.75246891632257,230.112309534146,11.235004134953,28.2306160688882,57.4208095691519,7.68868505702984,9.45097715288893,0,0,"A1809"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,0.2,0.2,0,0,0,0.0921,0.0921,0,0,0,0,0,0,0,0,0,"A1810"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,0.421835496107049,0.421835496107049,0,0.343221217469851,0,0.1906,0.1906,0,0,0,0,0,0,0,0,0,"A1810"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,1.48239210955575,1.48239210955575,0,0.349620240794961,0,0.2955,0.2955,0,0,0,0,0,0,0,0,0,"A1810"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,2.25781224532057,2.25781224532057,0,0.355714408728464,0,0.4068,0.4068,0,0,0,0,0,0,0,0,0,"A1810"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851.14993199893,1.30931118205691,3.14490647380472,3.14490647380472,3.31629136017127,0.36153631035167,0,0.5245,0.5245,0,0,0,0,0,0,0,0,0,"A1810"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.30022966846,3.85558954730087,4.11445876986071,4.11445876986071,9.45313047643496,0.367114590281059,0,0.6486,0.6486,0,0,0,0,0,0,0,0,0,"A1810"
7,2.03825795067154,0,0,1.75953821543351,0,3.02268061820312,0.956443766727327,0,0,0,0,2.11471662307024,0,0.345564125219496,1849.44818844103,7.96853839316755,5.14264031896511,5.14264031896511,20.6073603222036,0.372474095272252,5.11860064966262,0.7791,5.89770064966262,1.01912897533577,1.68412237171131,0.879769107716757,0,1.53558019489879,0,0,0,0,"A1810"
8,2.80131490997495,1.01912897533577,0,4.48739455598877,0.000202675389041905,8.2053369409105,2.53858683445766,1.01912897533577,0,0,0,2.22384867721805,3.17207493460537,0.899820357027517,1848.55157601013,13.5274341169244,6.20991877285438,6.20991877285438,38.0165354146038,0.377636020823995,13.1834189181217,0.916,14.0994189181217,1.91022194265536,4.55257864896901,2.24369727799438,0.000101337694520952,2.38121775583785,1.58603746730268,0.509564487667884,0,0,"A1810"
9,3.52764470961737,1.40065745498748,0.254782243833942,8.22200688362146,0.0119541605329082,16.0185976308442,4.85051496161397,2.96087862642232,0,0,0,3.43417590251907,4.85836898443765,1.70254860789322,1847.37878283354,20.2026690192355,7.30026809336922,7.30026809336922,62.2304274168208,0.382618057782124,23.6210650831618,1.0593,24.6803650831618,2.59154220421939,8.86057311936869,4.11100344181073,0.00597708026645409,4.14234543206652,2.42918449221882,1.48043931321116,0,0,"A1810"
10,4.08248105964171,1.76382235480868,0.350164363746869,12.7248732008971,0.176126629697884,26.6155604076583,7.90350558580204,5.38135421044493,0,0,0,4.03951894491941,7.48328096630867,2.7697361864495,1845.26632445462,27.5322276876007,8.40056188471442,8.34139581918283,92.9297887988827,0.387434538943545,36.6452119551875,1.209,37.8542119551875,3.09823388909863,14.6926482970539,6.36243660044855,0.0880633148489418,5.97151226536073,3.74164048315433,2.69067710522246,0,0,"A1810"
11,4.43612272239166,2.04124052982086,0.440955588702171,17.0154345681423,1.25269765599255,39.7927177936003,11.615167496818,7.91676454523659,0,0,0,4.75811048713196,9.65125328120728,4.08757903134355,1840.99738342146,35.0266557921608,9.50009088446032,8.82023393442023,129.028899973329,0.392096585660212,51.5040218501936,1.3651,52.8691218501936,3.45915942045734,21.9401484124719,8.50771728407113,0.626348827996276,8.18663899197497,4.82562664060364,3.9583822726183,0,0,"A1810"
12,4.6053669350684,2.21806136119583,0.510310132455214,19.0839515489716,4.93032055464349,55.0944528420662,15.8446855654709,10.3724332749607,0,0,0,5.1606551163485,11.7697673056774,5.61870984410536,1832.97914119175,42.2806547199956,10.5901704703673,9.26935724768716,169.050428202147,0.396612254443093,67.6043572404818,1.5276,69.1319572404819,3.66686921435972,30.3565813430858,9.54197577448582,2.46516027732175,10.5026703409097,5.88488365283872,5.18621663748035,0,0,"A1810"
13,4.64085317809664,2.3026834675342,0.554515340298958,19.0839515489716,10.6308027645004,71.9948124338243,20.4433451657845,12.5767455057519,0,0,0,5.47107435350179,13.3904709812479,7.3171541816807,1819.63484172799,49.0437908275665,11.6638165883516,9.6931152662237,211.577476959973,0.400986683566156,84.2032044605965,1.6965,85.8997044605965,3.74902599296489,39.6559833077525,9.54197577448582,5.3154013822502,12.9572097596431,6.69523549062396,6.28837275287597,0,0,"A1810"
