,,,Stocking,,MTH,,Volume,,BA,,DBH,,Mean,,,,,,,,,
Plot,Index age,Age,b4 thin,aft thin,,Crown Lth,b4 thin,aft thin,b4 thin,aft thin,b4 thin,aft thin,Height,,,,,,,,,
,,yrs,sph,sph,m,m,m3/ha,m3/ha,m2/ha,m2/ha,cm,,m,,,,,,,,,
,,19,303.3,,23.6,,248.0,,30.6,,35.9,,22.7,,,,,,,,,
,,20,275.7,,24.7,,260.9,,30.9,,37.8,,23.9,,,,,,,,,
,,21,250.7,,25.8,,273.3,,31.2,,39.8,,25.0,,,,,,,,,
,,22,229.0,,26.8,,286.4,,31.5,,41.9,,26.0,,,,,,,,,
,,23,228.6,,27.8,,314.6,,33.5,,43.2,,27.0,,,,,,,,,
,,24,228.1,,28.7,,343.3,,35.5,,44.5,,27.9,,,,,,,,,
,,25,227.6,,29.6,,372.5,,37.4,,45.8,,28.7,,,,,,,,,
,,26,227.1,,30.4,,402.0,,39.4,,47.0,,29.6,,,,,,,,,
,,27,226.5,,31.2,,431.7,,41.2,,48.1,,30.3,,,,,,,,,
,,28,225.9,,32.0,,461.4,,43.1,,49.3,,31.1,,,,,,,,,
A1838,26.52054795,0,1852.0,,0.3,,0.0,,0.0,,0.0,,0.2,,,,,,,,,
,,1,1722.3,,0.7,,0.1,,0.0,,0.0,,0.6,,,,,,,,,
,,2,1601.7,,1.5,,0.6,,0.0,,0.0,,1.4,,,,,,,,,
,,3,1489.5,,2.6,,1.6,,0.2,,1.3,,2.4,,,,,,,,,
,,4,1385.2,,3.8,,3.3,,1.3,,3.5,,3.6,,,,,,,,,
,,5,1288.2,,5.2,,9.6,,3.6,,5.9,,4.8,,,,,,,,,
,,6,1198.0,,6.6,,20.5,,6.8,,8.5,,6.2,,,,,,,,,
,,7,1114.1,,8.1,,36.6,,10.7,,11.1,,7.5,,,,,,,,,
,,8,1036.0,,9.6,,57.6,,15.0,,13.6,,8.9,,,,,,,,,
,,9,963.5,,11.1,,82.7,,19.3,,16.0,,10.4,,,,,,,,,
,,10,896.0,,12.6,,110.5,,23.4,,18.2,,11.8,,,,,,,,,
,,11,833.3,,14.1,,139.7,,27.0,,20.3,,13.2,,,,,,,,,
,,12,774.9,,15.6,,169.3,,30.1,,22.2,,14.6,,,,,,,,,
,,13,720.6,,17.1,,198.5,,32.7,,24.0,,16.0,,,,,,,,,
,,14,670.2,,18.5,,226.8,,34.9,,25.7,,17.3,,,,,,,,,
,,15,623.2,,19.8,,254.0,,36.7,,27.4,,18.6,,,,,,,,,
,,16,579.6,,21.2,,280.0,,38.2,,29.0,,19.9,,,,,,,,,
,,17,539.0,,22.4,,304.7,,39.4,,30.5,,21.1,,,,,,,,,
,,18,501.2,,23.7,,328.2,,40.4,,32.0,,22.4,,,,,,,,,
,,19,466.1,,24.9,,350.2,,41.3,,33.6,,23.5,,,,,,,,,
,,20,433.5,,26.0,,370.7,,41.9,,35.1,,24.7,,,,,,,,,
,,21,403.1,,27.1,,390.2,,42.5,,36.6,,25.8,,,,,,,,,
,,22,374.9,,28.2,,408.8,,43.0,,38.2,,26.9,,,,,,,,,
,,23,348.6,,29.2,,426.6,,43.4,,39.8,,27.9,,,,,,,,,
,,24,324.2,,30.2,,443.5,,43.8,,41.4,,28.9,,,,,,,,,
,,25,301.5,,31.1,,459.5,,44.1,,43.1,,29.9,,,,,,,,,
,,26,280.4,,32.0,,474.7,,44.4,,44.9,,30.8,,,,,,,,,
,,27,269.0,,32.8,,497.2,,45.4,,46.3,,31.7,,,,,,,,,
,,28,268.0,,33.6,,529.4,,47.2,,47.4,,32.4,,,,,,,,,
A1841,26.35342466,0,1852.0,,0.3,,0.0,,0.0,,0.0,,0.2,,,,,,,,,
,,1,1716.5,,0.6,,0.1,,0.0,,0.0,,0.6,,,,,,,,,
,,2,1590.9,,1.4,,0.5,,0.0,,0.0,,1.3,,,,,,,,,
,,3,1474.5,,2.4,,1.4,,0.1,,1.1,,2.2,,,,,,,,,
,,4,1366.6,,3.6,,2.7,,1.1,,3.2,,3.3,,,,,,,,,
,,5,1266.6,,4.9,,8.1,,3.1,,5.6,,4.5,,,,,,,,,
,,6,1173.9,,6.2,,17.8,,6.1,,8.1,,5.8,,,,,,,,,
,,7,1088.0,,7.7,,32.1,,9.8,,10.7,,7.1,,,,,,,,,
,,8,1008.4,,9.1,,51.0,,13.8,,13.2,,8.5,,,,,,,,,
,,9,934.6,,10.6,,73.8,,17.9,,15.6,,9.9,,,,,,,,,
,,10,866.2,,12.0,,99.3,,21.8,,17.9,,11.2,,,,,,,,,
,,11,802.8,,13.5,,126.2,,25.4,,20.1,,12.6,,,,,,,,,
,,12,744.1,,14.9,,153.7,,28.4,,22.0,,13.9,,,,,,,,,
,,13,689.6,,16.3,,180.8,,31.0,,23.9,,15.3,,,,,,,,,
,,14,639.2,,17.7,,207.1,,33.1,,25.7,,16.6,,,,,,,,,
,,15,592.4,,19.0,,232.3,,34.9,,27.4,,17.8,,,,,,,,,
,,16,549.1,,20.3,,256.4,,36.3,,29.0,,19.1,,,,,,,,,
,,17,508.9,,21.5,,279.3,,37.5,,30.6,,20.3,,,,,,,,,
,,18,471.6,,22.7,,300.9,,38.5,,32.2,,21.5,,,,,,,,,
,,19,437.1,,23.9,,321.2,,39.3,,33.8,,22.6,,,,,,,,,
,,20,405.1,,25.0,,340.0,,39.9,,35.4,,23.7,,,,,,,,,
,,21,375.5,,26.0,,357.8,,40.4,,37.0,,24.8,,,,,,,,,
,,22,348.0,,27.1,,374.8,,40.9,,38.7,,25.9,,,,,,,,,
,,23,322.6,,28.0,,391.0,,41.3,,40.4,,26.9,,,,,,,,,
,,24,299.0,,29.0,,406.4,,41.6,,42.1,,27.9,,,,,,,,,
,,25,277.1,,29.9,,421.0,,41.9,,43.9,,28.8,,,,,,,,,
,,26,256.8,,30.7,,435.0,,42.2,,45.7,,29.7,,,,,,,,,
,,27,248.7,,31.5,,459.0,,43.5,,47.2,,30.5,,,,,,,,,
,,28,247.9,,32.3,,489.8,,45.3,,48.3,,31.3,,,,,,,,,
A1862,23.35068493,0,1667.0,,0.3,,0.0,,0.0,,0.0,,0.2,,,,,,,,,
,,1,1534.2,,0.6,,0.1,,0.0,,0.0,,0.6,,,,,,,,,
,,2,1412.0,,1.4,,0.4,,0.0,,0.0,,1.3,,,,,,,,,
,,3,1299.6,,2.4,,1.1,,0.1,,1.1,,2.3,,,,,,,,,
,,4,1196.0,,3.6,,2.3,,0.9,,3.1,,3.4,,,,,,,,,
,,5,1100.8,,4.9,,6.7,,2.5,,5.4,,4.6,,,,,,,,,
,,6,1013.1,,6.3,,14.5,,4.9,,7.9,,5.9,,,,,,,,,
,,7,932.4,,7.7,,26.0,,7.9,,10.4,,7.2,,,,,,,,,
,,8,858.1,,9.2,,41.3,,11.1,,12.8,,8.6,,,,,,,,,
,,9,789.8,,10.7,,59.7,,14.4,,15.2,,10.0,,,,,,,,,
,,10,726.9,,12.2,,80.3,,17.5,,17.5,,11.4,,,,,,,,,
,,11,669.0,,13.6,,102.2,,20.4,,19.7,,12.8,,,,,,,,,
,,12,615.7,,15.0,,124.5,,22.8,,21.7,,14.1,,,,,,,,,
,,13,566.7,,16.5,,146.7,,24.9,,23.7,,15.5,,,,,,,,,
,,14,521.5,,17.8,,168.2,,26.7,,25.5,,16.8,,,,,,,,,
,,15,480.0,,19.2,,188.8,,28.1,,27.3,,18.1,,,,,,,,,
,,16,441.8,,20.5,,208.5,,29.3,,29.1,,19.4,,,,,,,,,
,,17,406.6,,21.7,,227.1,,30.3,,30.8,,20.6,,,,,,,,,
,,18,374.2,,22.9,,244.7,,31.1,,32.5,,21.8,,,,,,,,,
,,19,344.4,,24.1,,261.2,,31.7,,34.2,,23.0,,,,,,,,,
,,20,317.0,,25.2,,276.4,,32.2,,36.0,,24.2,,,,,,,,,
,,21,291.7,,26.3,,291.0,,32.6,,37.7,,25.3,,,,,,,,,
,,22,268.5,,27.3,,305.1,,33.0,,39.6,,26.4,,,,,,,,,
,,23,247.1,,28.3,,318.9,,33.4,,41.5,,27.4,,,,,,,,,
,,24,239.7,,29.2,,342.3,,34.8,,43.0,,28.3,,,,,,,,,
